スポーツウェーブ鉄腕24,千葉県千葉市中央区浜野町1025-59
クラブセガ稲毛オーツーパーク,千葉県千葉市稲毛区園生町380-1
千葉レジャーランド稲毛店,千葉県千葉市稲毛区小仲台2-5-7海宝ビル2F
ラッキー西千葉店,千葉県千葉市稲毛区弥生町1-15
スポーツウェーブ鉄腕24稲毛長沼店,千葉県千葉市稲毛区長沼原町697番地
パレパレ稲毛長沼店,千葉県千葉市稲毛区長沼原町731-17フレスポ稲毛Ａ２棟４
プレビワンズモール,千葉県千葉市稲毛区長沼町３３０−５０
セガ幕張,千葉県千葉市美浜区ひび野1-8メッセ・アミューズ・モール１Ｆ
ｎａｍｃｏイオンモール幕張新都心店,千葉県千葉市美浜区豊砂１−１ｲｵﾝｸﾞﾗﾝﾄﾞﾓｰﾙ３F
ゲームランド千葉ニュータウン店,千葉県印西市中央北３丁目　イオンモール　千葉ＮＴモール棟３Ｆ
アピナ印西店,千葉県印西市原１−２ビッグホップガーデンモール印西２Ｆ
プラサカプコン富津店,千葉県富津市青木1-5-1イオンモール富津内ゲームコーナー
千葉レジャーランド成東店,千葉県山武市姫島111-1
ゲームランドちはら台店,千葉県市原市ちはら台西３−４ｕｎｉｍｏちはら台２Ｆ
